영화제목,아이디,평점,댓글
베리드,fere****,8,아주 잘 만든 영화 영화만이 만들수 있는 리얼감 긴장감을 잘 살린 개성넘치는 아주 멋찐영화임
남자가 사랑할 때,tkdd****,10,황정민이라는 석자이름을 본다면 그냥 망설임없이 봐라.
카르멘,area****,10,파즈 베가 너무 이쁨. 진짜 카르멘
랑종,rlat****,10,평점 별로여서 안볼라했눈데 존잼이얐음
발신제한,12lo****,2,자동차 광고  입니다  처음부터 끝까지
발신제한,qkrw****,10,넘슬퍼서 눈물이 저절로흘럿네요  흐엉엉엉
금발이 너무해,pop4****,10,'가장 중요한 것은 자신을 믿어야 한다는 거죠.'
그린 북,gkfl****,10,"와 정말 대단한 영화다... 이런 리뷰 처음 남겨본다. 셜리박사의 슬픈 눈은 잊을 수가 없고.. 일상 곳곳에서 겪는, 언뜻 사소해보이는 차별들이 당사자에겐 얼마나 큰 내상이 될지 간접경험한 느낌이다. 백인들이 인간 취급도 하지 않는 흑인인 셜리 박사가 그 누구보다도 품위를 지키고 다소곳한 '인간적인' 모습을 가진 인물이란 것이 정말 뭉클하게 다가왔다. 모든 생명은, 모든 사람은 소중하다는 걸 다시 한번 느끼게 해준 영화. 전혀 다른 방식으로 살아가던 두 인물이 우정을 나누며 구분되지 않게 섞여들어가는 모습, 그 변화에 대한 표현이 대단하고, 두 배우의 연기도 정말...말이 필요 없다. 초반엔 딱딱하고 심각한 표정만 짓던 셜리 박사가 후반부에 환하게 웃을 때 천진함마저 느껴져서 찡했다... 인생 영화로 등극...."
제8일의 밤,asht****,7,평점이 왜 이렇게 화가 났는지 이해가 안됨. 개꿀잼 까지는 아니여도 시간 아까운 정도는 아님. 가볍게 웹툰 보는 느낌.
검은 고양이 흰 고양이,iiil****,10,
완벽한 거짓말,ergr****,9,소설가 지망생으로서 부들부들 떨면서 공감하며 정신을 못 차린 영화였어요 특출나게 연기나 스토리가 뛰어나진 않으나 절대 지지 않는 설정이라 9점 드립니다
크루엘라,shwd****,8,배우들 연기가 좋고 2편을 기대하게 만드는 내용입니다.
더 울버린,hwak****,1,시간아까워....ㅠㅠ
"지금, 만나러 갑니다",gkdl****,10,꼭 봐야되는 영화중에 하나
미드나이트,swim****,10,(너같은 새기는 OO가 최고야)
사이다처럼 말이 톡톡 솟아올라,dlcu****,6,남주 ㄹㅇ 개존잘 너무 좋고 엄청 좋아요 재밋어용 ㅎㅎ 마지막 ost너무 슬퍼요 엄청 슬프진 않고 ㅎㅎ 그냥 슬퍼요
보스 베이비 2,dkd3****,2,재미없다 그냥 보다가 지루해서 나왔음
흑집사 : 북 오브 더 아틀란틱,skyb****,10,그렐 분량 많아서 조았따…
블랙 위도우,pji7****,10,아낌 없는 액션으로 스트레스가 날아감
클로이,1022****,10,
랑종,thsd****,10,영화러닝타임 ㅎㅎㅎ 너무좋아요
호스텔,ill0****,1,여자에 정신 팔린 노답이 참교육 당하다 복수하는 영화
중경삼림,lzin****,10,사랑 이야기가 아닌 사랑에 대한 공감 이야기 그래서 더 여운이 남는다.
랑종,mcki****,10,초중반 풀어가다가 마지막에 몰아치는데 무서워 죽는줄 ... 연기자들의 연기가 너무 좋음
생텀,jiwo****,10,시간 순삭. 해저영화 참 좋아하는데 생텀 빠지면 안됨. 생각날 때마다 챙겨보는 영화 !
내가 죽기를 바라는 자들,lemi****,9,졸리누나 솨라있네~
더 테러 라이브,juhe****,10,진짜 근래 본 영화중에 제일 몰입해서 본 영화...
PMC: 더 벙커,is0h****,1,감독이 누군지 찾아보게되는 영화는 또 처음이네
PMC: 더 벙커,dual****,1,말도 안되는 내용을 뻔하고 어지럽게 풀어낸 느낌?
어른들은 몰라요,chh8****,10,"어떤 영화든 모든 이들에게 다 다르게 다가오듯이 나에게 있어서 이창동감독님의 오아시스 그리고 이와이슌지의 릴리슈슈의 모든 것, 구로사와 기요시의 큐어 그리고 최근 넷플릭스 영화 마더 같은 뭔가 마치 영화가 뿜어내는 습하고 더러운 느낌이 계속 들고 머리가 아프고 어지럽고 또 분노가 치밀어 오르고 난해하고 복잡한/그리고 맥락도 없이 그저 기분만 더러운 그런 영화를 난 무척이지 좋아한다. 평소 다크하고 인간 존재에 대한 인간 죽음에 대한 그리고 인간이 느끼는 두려움과 심리적인 모든 그런 메세지를 담은 영화를 무척 좋아하고 나름 많이 찾아서 보는 편이다. 무엇보다 좋은 이유는 영화가 말하고자 하는 메세지가 너무 난해해서 머리로는 도저히 못느끼는데 뭔가 다른 감각으로 느낄 수 있는 그 미묘한 느낌이 딱 들어맞을 때 그때 나는 그 느낌이 너무 좋다. 이환 감독은 뭔가 난해하고 복잡한 현실적인 그런 것을 설명하기 보다는 먼저 감정으로 꾹꾹 눌러 담아서 그걸 하나하나 풀어내는 기법이 너무 훌륭하다. 박화영과 달리 제목으로 이미 많은 메세지를 전달한 것 같다고 생각한다. 제목부터 보고 영화를 보는 것과 제목을 안보고 영화를 보는 것은 확실히 다르다. 제목이 확와닿으니 영화의 시작부터 끝까지 빨려들어갔다... 무엇보다 배우들의 연기가 대단했다...감독도 처음에 보고 다른 배우인줄 알았다..  아무튼 뭔가 한국판 릴리슈슈를 본 것 같은 느낌도 아주 살짝 들어서 보기 좋았다. 나에게 있어서  장면 하나하나가 나에겐 너무나도 소중했다... 저 장면 하나하나에 내가 보였다가 또 사라지고 또 다시 나타나고.. 그래서 더욱 더 나를 돌아보고 마주하고 그런 시간이었다.나에겐 내가 미안하고 짐같은 존재고 아무것도 하지 않는 나는 당연히 죽어 마땅하다고 생각하지만 그래도 살고는 싶은 그런 존재가 아닐까 하는 그런 많은 생각을 하게 해준 영화였다."
1987,doll****,10,감사합니다 제대로 배우고 갑니다.
백만장자의 첫사랑,ssae****,10,은환아 가지마 .. 볼 때마다 눈물이 저절로 나오네 ㅜ ..
완벽한 그녀에게 딱 한가지 없는 것,dkff****,8,"자칫 진부할수있는 내용인데,,, 살면서 가장 중요한게 무엇인지 되돌아보게 되고, 스토리몰입도 개연성 여주의 미모 고루고루 귯귯!  훈훈해지는 새벽~"
랑종,sdel****,10,기대 없이 보면 괜찮습니다.
야연,jooh****,10,영상최고 징쯔이 굳 음악 굳
툼 레이더 2 - 판도라의 상자,dudm****,10,"이 영화에 조금이라도 불만인 아가들이여' 안젤리나 졸리,  세가지 열정 ' 이라는 책이 있으니 필독하기를 바라 마지않는다.  게임에만 익숙해져 있으니 불만들이 싹트는 것이니라...."
디파티드,kims****,10,무간도의 오글거리는 눈빛연기를 뺀 담백한 마틴 스콜세지표 느와르
PMC: 더 벙커,gunw****,10,이게 왜 잼없다지 촌놈들이 영화봐서 어지러워서 적응 못하나 ㅋㅋ 긴박감 하나로 보면 되지 영화하나에 참 많은걸 쳐 바라고 보나보네
블랙 위도우,ap38****,10,ㅈㄴ재밌다 후회없다ㅎㅎ
극장판 귀멸의 칼날: 무한열차편,oyun****,10,"평소 입만 웃고 있거나 항상 긴장을 늦추지 않는 듯한 렌고쿠였는데, 이야기의 끝에 자신의 임무를 다하고 마지막으로 지은 표정이 정말 인상깊었습니다. 비로소 긴장을 놓고 마음을 다해 웃는 듯 했어요. 앞으로의 이야기에서 렌고쿠를 볼 수 없다는 게 아쉽지만, 결국  렌고쿠이기에 이런 감동을 줄 수 있었다고 생각합니다."
블랙 위도우,ggae****,8,그저 그래요
블랙 위도우,taki****,10,역시 영화는 헐리웃이야ㅠㅠ 액션이 어떻게 1분 1초도 어설픈데가 없이 진짜보다 더 진짜처럼 연기하냐... 그리고 미드소마 여주... 역시 헐리웃 배우는 다르다 겉모습이 완전 미드소마 여주랑 완전 똑같은데 완전한 다른 사람이야... 목소리며 말투며 억양이며 표정 성격이 완전히 다른 사람이다... 스파이인데 통통해서 처음에 읭?했는데 연기 진짜 미쳤다... 통통한 몸매도 다 커버하는 미친 연기력.... 미드소마 여주랑 똑같이 생겼는데 완벽하게 다른 사람... 절대 같은 사람으로 안보인다... 헐리웃 사랑해 ㅠㅠ ♡
노스탤지아,baks****,8,역시 명불허전...
프랙처드,wwf8****,8,예상은 했다 ~~내용은 괜찮아따
히든카드,baks****,6,숙면을 취하고 싶다면 탁월한 선택이다
더 테러 라이브,love****,10,넷플릭스로 다시 보게 된 영화. 2021년에서야 이 영화를 알게 된 것이 후회된다. 진작 봤어야 했던 영화.
블러드 킬,baks****,1,스티븐 씨×발...
알렉산더,dudm****,10,명배우들의 연기만으로도 ..
클레멘타인,some****,10,뭇 한국의 사는 사람들이라면 클레멘타인으로 희노애락의 감정을 느끼고 삶에 투영시킬 것이다.
발신제한,ehsq****,9,이거 옵티머스 라임같은 불완전 사기 펀드 얘기임. 실제로 국민 신한같은 은행에서 원금보장이라고 거짓말로 사기쳐서 팔고 원금 다 날림.
발신제한,k513****,1,망하는데는 다 이유가 있네ㅋ그 역할에 맞는 배우를써야지 본인한테 안맞으니깐 연기가 어색하자나..첨에 스릴러로 잘가다가 중간부터 끝부분까지 드라마로 바뀌는거는 머지 억지로  관객들한테 감동을 주겠다는게 보이는데 나만그런가..
변신,wlsd****,2,가족들을 다 머리 모자란사람들로 만들어 놓으셨어요 왜 스토리 억지로 끼워맞춘다고 그러는거임? ㅋㅋ 진짜 보는내내 별로였음 이런 장르 좋아하는 편인데 지금까지 본거중에 제일 별로... 배우들 연기가 별로라는건 아님 배우들 연기만큼은 다 훌륭했음 설정이 너무 빈약하다는 느낌
간첩,rose****,2,진짜 최고로 재미없게 본 영화 평저 4될줄알았는데 놀랍네 ;
노매드랜드,wngu****,10,떠난 이를 기억하는 방법
콰이어트 플레이스,ghij****,5,"솔직히 평점 6점대 영화임,, 예고편이 다인 영화. 예고편 이외에 내용 없음. 그리고 저 상황에서 임신은 왜하며 억지스럽고 답답한 부분이 많음 후"
야쿠자와 가족,ksko****,10,가슴이 먹먹해지는 영화.. 간만에 집중해서봤어요.
그것,vlff****,1,전개의 개연성이 아주 부족한데다 전체적으로 유치하다
랑종,hara****,6,초반엔 지루하고 후반엔 좀비물이에요 내용이 없어요
괴물,mist****,10,느그호를 이용해서 권력을 쟁취한 진짜 괴물 문재앙과 대깨문들이 떠올랐다 가짜가 아닌 진짜 괴물들
서스페리아,ace-****,9,서스페리아 역시나 최고의 영화였구요 리메이크작을 이렇게나 만들수 있다니감독 대단하네요 다만 상업적 영화와는 거리가 있으니 주의해 주세요 불쾌한 장면도 많이 나옵니다너무 너무 잘봤습니다
조커,gray****,9,절망의 씨앗이 혼돈으로 피어나는 과정.
부당거래,d2pa****,10,느와르 제대로 느와르다
새콤달콤,jaew****,10,마지막 반전이 너무 신선하고 좋았네요. 쓰레기남친은 제발 없어졌으면 좋겠다는 생각이 들었습니다. 너무 재밌게 잘봤어용~^^
미션 파서블,mais****,5,기대없이 편하게 본다면..
꾼,inab****,6,킬링타임용으로 나쁘지 않으나 스토리가 너무 뻔하다
오퍼나지: 비밀의 계단,moni****,7,아이의 말에 항상 귀기울이자. 나중에... 이따가...이렇게 미루다 소중한 순간을 잃게 된다. 그리고 마지막 교훈! 특히나 아이를 키울 땐 안전사고 조심 또 조심!
이별의 아침에 약속의 꽃을 장식하자,hyun****,10,
오퍼나지: 비밀의 계단,neel****,10,무슨 이런 영화가 다있지? 공포로 시작해서 슬픔으로 끝나네ㅠ 너무 잘봤네
발신제한,wndg****,2,차라리 더 테러 라이브 한번 더 보겠습니다.
잉글리쉬 페이션트,moni****,10,알마시 해협.. 소유하지도 소유당하지도 않으려 했던 이가 유일하게 가지고 싶었던 것
쇼생크 탈출,noen****,10,A masterpiece was here.
발신제한,ani9****,10,모기지 사태 관련 댓글은 하나도 없네. 은행알바들이 별점테러 중인가?
바람 바람 바람,bbta****,1,
베일리 어게인,noen****,8,진부한 내용에 억지스런 설정의 영화를 이렇게 잘 만들기도 힘들다.
사이다처럼 말이 톡톡 솟아올라,123q****,5,영상미나 색감 자체는 뛰어나나 스토리와 연출이 너무 밋밋해서 지루함을 느낄 수 있음.
블랙 위도우,paco****,10,마블 영화 중 제일 재밌게 봤네요 ~
바람이 분다,last****,8,"※강력 스포주의※지브리 팬으로써  마지막 작품이 오해가 많아 안타깝습니다 이 작품은 주인공 지로가 비행기 장인으로써 꿈을 실현해가는 과정을 담은 이야기입니다. 극우작품이 아닌 이유는 사실  애니를 보시면 아시겠지만 미국과 전쟁어쩌고 해서 주인공 지로가 파멸이군요 라고 답합니다 중간에 외국인 신사를 만나 독일  일본 어쩌고 하면서 파멸이라는 단어가 또 한번 나오구요 전쟁에 대해 부정적인 비판적인 의미를 애니에서는 표현하고 있습니다 제가 볼때 전체적인 내용은 전쟁의 비판, 후유증,  한소년의 꿈,  아픈사랑 여러 감정요소가 들어있는 훌륭한 작품이라고 보여집니다 한 소년이 전쟁시대에 태어나 자기꿈을 목표로 열심히 정진하며 (전투기를 만들어야하는것에 힘들어하는? 부정적인 어필도 주인공이 표현한 장면이 있음) 사랑하는 여자 나호코를 만났지만 나호코는 결핵을 앓고 있었고 병치료를 위해 떨어져 각자의 위치에서 노력을 하지만 나호코의 병이 악화되어 얼마 남은지 알수 없는 인생 서로 함께하기로 하고 행복한 시간을 보내지만 나호코는 곳 자신이 죽을껄 알기에 비참한 모습을 지로에게 남기지 않고 행복했던 모습만 남겨주고 싶어 어느날 갑자기 편지만 남겨둔채 떠납니다  사랑하는이가 떠났지만 지로는 포기하지 않고 결국 자기 꿈을 이루어내죠  저는 수년간을 사랑해온 여자가 있었는데 거의 청춘을 다 받쳤네요^^; 일본인은 아니었지만 외국인이구요 마지막 까지 서로 많이 사랑했지만 현실적인 문제로 결국 헤어졌습니다 그래서 그런지 감정 이입이 너무 잘됬구요 개인적으로는 마지막 작품으로 매우 훌륭하다고 봅니다  꿈은 실현했지만 사랑하는이 떠났네~아 청춘이여~ 이 또한 인생이구나~ 지브리는 인생애니 입니다 앞으로도 잊지 못할껍니다 하야오 작가님 감사합니다!  은퇴하시면서 용기있게 전쟁비판 메세지를 여러곳에 잘 담으셨는데 제가 다 속상하네요 늦었지만 재평가 받아야한다고 생각합니다 좋아요 많이 눌러주십시오!!  오해를  풀어드리고 싶습니다!!!"
그린 북,noen****,10,"충분히 배우답고, 충분히 연출답고, 충분히 영화다운 영화."
블랙 위도우,soyo****,10,스칼렛 나타샤 요한슨 로마노프. 안녕.
헝거게임:모킹제이,heyy****,10,"남주인공인 피타보다  게일이 더멋있고 눈이간다,,,키도크고훤칠,,게일이 남주했으면좋았을걸ㅜㅜ배역이바꼈으면 어땠을까? 그나저나 게일너무불쌍해ㅜㅜ"
82년생 김지영,rudc****,6,영화자체는 문제될게 없는것 같다 근데 딱 영화내용이지 실제로 단순히 여자라는이유로 저런삶을 사는 사람이 얼마나 될까싶다이 영화를 공감하고 현실이라고 말하는 사람들중에 얼마나 이 영화속 김지영의 삶과 비슷한 삶을 산다고 생각하기에 공감을 하는걸까?반대로 남성이 남성이라는 이유로 희생을 강요당하고 부조리함을 겪는 영화를 만들어놓고남성들이 너무 공감한다며 여성들을 비판해도 과연 여성들은 그 비판을 곧이 곧대로 받아들일수 있을까? 양심들 있었으면 좋겟다 영화는 영화고 니들이랑은 전혀 관계없는 이야기다 착각들 하지마라
발신제한,wizw****,4,지금 보고왔다. 조우진 배우 좋아하는 배우라 주연 하신건 너무 기쁘다.근데 다른 분들 심지어 지창욱까지 연기가 왜케 이상한지 모르겠다. 말을 엄청 느리게 하는듯 하게 하는데 있던 박진감이 자꾸 사라짐. (진경님도 원래 연기 잘하시는 분인데 이분까지 이상한거보면 감독의도인거 같긴함)개 급한 상황에서 말이 좀 속도가 계속 느리다는 느낌을 받는데... 이게 의도된건지 뭔지 아무튼 이상해...그리고 이게 보니까 해외영화 리메이크 인거 같은데..원작 연출인지 뭔지억지미가 좀 엿보이는데 아니 어느나라 경찰이 가족이 설득하러 간다고 그냥 보내주나?같이 옆에 안따라가는 것도 이상한데... 심지어 인이어 도청기 통신기도 안준다고? 네고시에이터가 따로있는데 지시사항 들어야지 그냥 생으로 보내? 완전 억지.심지어 우리나라 같은곳에서 동생인지 신원조회하는거 단말기 한번만 돌리면 주민번호 조회되는데저게 가능한가요? 다른나라는 주민번호등록에 사진 수집을 안하니까 그렇지만 우리나라는 그게 불가능하죠.그래도 조우진 배우님의 명품연기때문에 별점 4점드립니다.
야쿠자와 가족,dnjs****,10,야쿠자 영화라길래 신세계처럼 다 찌르고 죽이는 영화인줄 알았는데 아니였네요 간만에 좋고 여운 남는 영화 봤어요
랑종,8296****,1,이런 걸 영화라고 만들었음..? 진짜 돈 아까움;; 태국 영화하면 공포인데 이 영화는 왜이럼; 진짜 중간에 앞사람들 못 보겠다고 나가서 우리도 나갈까 말까 하다가 돈 아까워서 아무생각 없이 봄ㅎ 끝나고 나오는데 사람들이 돈 아깝다고 무슨 영화냐고 얘기 할 정도로 진짜 재미도 감동도 스릴도 아무것도 없음 그래도 조금 고마움 영화 보기 전 리뷰는 꼭 봐야겠다는 그런 생각을 만들어준 영화임
지오스톰,rudc****,9,굉장히 재미있게 봤다반전도 있고 스토리도 탄탄하며 연출이나 CG등 부족한부분이 없는 영화였던것 같다.
랑종,jjy6****,10,연출이 상당히 맘에 들었습니다.
비열한 거리,ok02****,8,우정 사랑 의리 다 잃었네
미드소마,qpr1****,1,무섭지도 않고 애매한 영화
플로리다 프로젝트,tjdd****,5,개차반 인생의 부모는 순수한 아이를 병들게 한다. 진심 불쾌하다. 이걸 이해 한다는 건 저 환경을 겪은 것인가? 본 것인가? 적어도 내가 자라온 환경과는 너무 나도 다르다. 어린아이들이 침 뱉고 노는 장면조차 이해할 수 없다. 이해 하는 척 하지 말자. 몸파는 부모를 둔 아이는 몸파는 일에 대해 무던 해지기 마련이다.
이스케이프 룸 2: 노 웨이 아웃,ghdi****,10,시간 가는 줄 모르고 재미있게 봤습니다!
야쿠자와 가족,cdj4****,10,간만에 좋은영화득템했다
먼 훗날 우리,mayq****,10,마지막 편지에서 눈물이 핑 도네요… 내 인생에도 이들처럼 모든걸 다 걸고 사랑할 수 있을까? 생각이 드는 영화. 추천합니다. 엔딩크레딧까지 보세요
날씨의 아이,gjhg****,2,영화내용이 좀 자극적인데 몰입도안되고 감동도없음 그냥 등장인물들끼리 울고불고함 그리고 갑분총은 뭐임 스토리도 탄탄하지않고 연개가 어떻게 된건지모르겠음 그리고 결국 남자주인공 지 좋으려고 3년간 나라 물난리만들어 놓네 뭐 다시만나고 3년간 찾아가지도 않더만 그렇게 만나고 싶어하고 별짓을다하더니 현실성이 없음
셔터 아일랜드,kims****,10,보다가 나까지 정신병 걸릴 것 같았지만..마지막부분이 이해가 안되서 네이버에 해석 찾아봄.작가는 어떻게 이런 스토리를 만들어냈지 감탄했음.
천공의 성 라퓨타,inte****,10,제 인생영화 ( ´▽｀)
크루엘라,yhw0****,10,"연출이면 연출 스토리면 스토리 배우면 배우 명대사들도 많이 공감됐고 뭐 하나 빠지는게 없었던, 진정한 복수란 무엇인가를 보여줬던 영화."
미드소마,rach****,8,뒷 맛이 개운함
맨 오브 스틸,tjdd****,3,절레절레
사생결단,kkkz****,1,류승범 황정민 사투리연기 못봐주겠음 짱구나오니까 티 더 많이 남
데어 윌 비 블러드,truc****,10,유전탑에서 타오르던 불길보다 뜨겁던 욕망을 향한 눈빛. 158분 내내 압도하는 다니엘 데이 루이스의 카리스마 하나만으로도.
톨 걸,kimy****,10,공감이 가서 좋았어요. 이 영화를 키큰 여성분께 바칩니다 . 넷플릭스에 마땅한 영화가 보이지 않는분! 재미있으니 한번 보시길 추천드려요. :)
지오스톰,fogm****,9,와. 별 기대안하고 봤는데 졸라 재밌네. 역시 할리우드 영화는 넷플릭스 오리지널봐 급이 달라 급이. 간만에 헐리우드 대작보고 갑니다.!!!!  꼭 보세요
미 비포 유,mino****,10,슬프다ㅜㅜ용엄마 연기 잘함
클레멘타인,uniq****,10,아. 아. 아.잊혀지지...ㅇㄴㄷ
여고괴담 여섯번째 이야기 : 모교,hige****,1,걍 문산당이 보수당한테 표 뺏기기 싫어서 만든 영화다~홍어들끼리 잼나게 보슈~~
배드 사마리안,dora****,4,머지...일상 생활 좀 제대로 하는 사람들이면 평점 5~6점대 이거나 그 이하일텐데...상대방 거시기 찍는 무뇌한이 많은가봄...
버닝,hmsk****,10,무라카미하루키..윌리엄포크너..이창동.. 배우 유아인 완전하다 !
치어리딩 클럽,chlt****,10,젊음은 한정적이지않다 위대한 치어리딩 클럽!
패딩턴 2,line****,10,
하울의 움직이는 성,sils****,10,"“마음은 원래 무거운거야.”처음부터 무언가 알고 있었던 것처럼,소피의 행동에는 거침이 없다.무겁지만 또 자유로운 그녀의 마음을 따라나서는 동안 내 속에 두근거림이 자꾸 전해온다."
카우보이 & 에이리언,ulti****,10,이 영화는 평점 5점대 낮게 주고 국싼 좌빨 홍어 썩은 영화들은 평점이 높냐?
콘택트,gmrt****,10,"이시대에 무슨일이 있었길래 매트릭스, 가타카, 콘택트 같은 어마무시한 영화들이 나온거죠?"
말레피센트 2,sonk****,2,오로라 죽창꼽고 왕국파괴시켯으면 1000만갔다
베를린,nomo****,8,이걸 이제야 봤네 액션 진짜 최고다 지금까지본 것 중에서 역대급....살짝 로맨스를 기대했지만ㅠㅠ 그리고 중간 중간 무슨 말 하는지 잘 안들렸지만 정말 재밌었음
화이트 하우스 다운,gusd****,10,내가 본 액션 영화중에 최고
어벤져스: 엔드게임,gyk3****,10,"말이 필요없고, 걍 꿀잼"
사라진 밤,ahah****,8,어후..이정도 스토리에 연기력에 반전도 좋은 한국 스릴러 찾기 힘들듯..
해길랍,blan****,10,어떤 내용을 다루고 있는지 충분히 알고 있었고 다들 혹평을 해섴ㅋㅋㅋㅋ아주아주 낮은 기대감으로 봐서 그런지 생각 이상으로 괜찮아서 놀랐다! 다만 이런 참신한 소재로 더 좋은 연출 스토리를 짤 수 있었을 것 같은데 만들다가 만 느낌이랄까 그게 조금 아쉽다 허광한 팬이라면 한 번쯤 볼 만한 작품이지만 그게 아니라면 굳이 추천은 안한다...
뉴 문,doky****,1,벨라 돌았나 제이콥이랑 키스를 하려고 하지 않나. 웃통 다 벗고 있는데 거따가 팔을 감고 꽉 끌어앉지를 않나. 집 바래다주는 상황에서 꼭 가야되냐고 하질 않나. 저게 돌았나. 아니 애정결핍을. 지를 좋아하는 남자애한테 어장관리하면서 존재가치 느끼려들어? 진짜 벨라년임 남주가 아깝다
뷰티 인사이드,sayo****,10,왜 더 일찍 보지 않았을까?수 많은 우진이를 분 한 각 배우들이 우진이의 외롭고 슬픈 감정을 어찌 그리 이질감 없이 잘 표현한 걸까?수 많은 우진을 보았지만 단 한 사람을 본 기분이랄까..광해에서의 슬프고 외롭기만한 왕비와 달리 밝음과 서서히 힘들어함을 표현한 한효주 배우가 이리도 깊은 배우였나?외모..외모..내면..내면..많은 여운을 남기는 작품.
이스케이프 룸 2: 노 웨이 아웃,gosm****,8,전개가 빨라서 좋네요. 다만 좀 산만한 느낌도 있습니다.
다이 하드 4.0,skau****,6,경찰이 저렇게까지 보잘것없을수가 있구나를 느끼게해준 영화. 주인공 두명이 처음부터 끝까지 다 해먹음ㅎㅎ  솔직히 개연성은 1도 없으나 히어로액션물이려니 그렇다치고 몰입도나 액션씬등 그 외엔 다 좋았음
로마의 휴일,qkzk****,10,너무 재밌게봤어요 코믹과 감동이 함께!!역시 창정이형 굿 ㅎㅎ
가타카,wlsd****,10,
아미 오브 더 데드,milh****,2,인생 OOO기영화 작가가 미친거밈 딸래미를 아주 OO으로 만든영화
블랙 위도우,hear****,10,나에게 있어 최고의 히어로
공동경비구역 JSA,afte****,10,와 역시 박찬욱 감독 영화였구나.
블랙 위도우,mave****,2,ㅋㅋㅋㅋ 이것도 영화라고?
랑종,alfo****,1,하씨 후기보고 볼껄 ...
좀비크러쉬: 헤이리,mais****,2,그냥 코미디로나 제대로 했어야
미나리,blue****,10,"기대이상입니다 선을넘지않은듯한 이 기분, 정말 좋습니다"
노바디,seef****,4,생각없이 보면 무난하다.
아수라,lee_****,10,영화가 이 정도면 재밌는편 잔인한거 못 보시는분들은 힘드실 수 있겠지만 다크하고 컴컴한 분위기 느와르 좋았습니다
낫아웃,uhm8****,6,감독이 5천 달라고 하더라…
랑종,bbb9****,10,
랑종,luna****,1,제대로된 해석조차 할수 없게 뭐든 관객에게 떠넘기는 불쾌한 영화
디-톡스,rhon****,6,"이거 나름 스타들 많이 나옴. 스탤론과 터미네이터2의 로버트 패트릭, 플래툰의 톰베린저, 크리스 크리스토퍼슨... 그러나 영화는 딱 90년대 스탤론 영화. 여배우만 좀 보게 됨"
귀를 기울이면,inte****,10,제 인생영화 (*???*)
잉글리쉬 페이션트,skyk****,10,너무 슬퍼서 숨이 안쉬어지네요 ...랄프파인즈 연기 너무 좋았습니다 이런 영화 볼수 있다는게 영광이네요.
내가 죽던 날,only****,6,초반에 엄청 지루하지만 ...보세요
랑종,siny****,10,평점 왜 낮은지 모르겠네요 지루한 공포영화밖에 없었는데 제대로된 공포 영화 본 것 같아서 좋았습니다
"그 시절, 우리가 좋아했던 소녀",qksg****,10,
랑종,tech****,7,엑소시스트 + 파라노말액티비티 + REC 섞어놓은 느낌. 배우들 연기는 괜찮았고 너무 긴 러닝타임대비 공포도 역시 나름 괜찮았음. 근데 페이크다큐 형식은 그렇게 할거면 안하는게 나을뻔했음. 끝으로 기괴하다고 까는글들 많은데 공포영화에 기괴함이 까일 요소인가?
클레멘타인,mi22****,10,말해 뭐해 최고의 영화최고의 감동
빌로우 제로,rhon****,8,중반까지는 너무 지루해서 잠옴. 중후반부터는 그럭저럭 볼만함.
레전드,seef****,2,많이 아쉽다..톰하디도 매력있으나..왕가위 감독과 양조위 궁합이 더 매력적일거 같다.
가루지기,blue****,10,야하고 웃긴 영화 자주 나왔음 좋겠다 요즘 우리나라는 페미 때문에 가족은 해체되고 문화는 망가지고 후...
세자매,manc****,10,
버드 박스,love****,7,배우 산드라 블록의 타고난 연기 실력을 재삼 확인. 나라면 저렇게 눈가리개 하고 뛰어다닐 수 있을까 싶어 살짝 몰입하기 어렵긴 했지만 그럭저럭 보게 되는 영화. 시각장애인은 알겠는데 정신병자 설정은 참신하다고 해야할지 아리송송.
랑종,jbj0****,10,솔직히 평이 왜이렇게 안좋은지 모르겠다 불편하다는 사람이많은걸로보아 감독의 의도는 매우 성공적인것같다 컨저링시리즈나 곡성등 그렇게 무섭게 보지않았는데 살면서 링을 처음봤을때와 착신아리를 처음봤을때 그리고 지금 랑종을 봤을때 느낌이 비슷한것같다 잠이안온다 마지막장면이 조금 표현이 좀비같아서 아쉽긴했는데 뭐 극장에서 충분히 돈주고 볼만한영화라 생각함 굳
고스트 워,aste****,4,다들 재밌있다고말해서 괜히 기대했더니..지루함...ㄵ
소리도 없이,smga****,10,너무 웃기고 마음 아프고 긴장되고ㅠㅠ 넘 재밌어요  정말 외국영화 같아요
식스 센스,junw****,10,유쥬얼서스펙트는 반전을 알고 봤지만 이 영화는 운 좋게도 모르고 봤음.반전이 정말 소름끼침ㅋㅋㅋ 식스센스가 고유명사가 된 이유
쓰리 데이즈,rani****,8,
시라노; 연애조작단,phea****,6,도움으로 사랑 움켜쥐기
