영화제목,아이디,평점,댓글
방법: 재차의,gyun****,1,이걸 찍으면서 문제를 못 느꼈단게 신기하다. 공포 영화인줄 알고 보러갔다가 역대급으로 웃고 나옴. 헛웃음도 웃음이라면
모가디슈,kkid****,10,소말리아 내전도 궁금해서 찾아보게 됐습니다연기도 좋았고 잘봤어요
모가디슈,myss****,10,"와... 연출력, 연기력은 말할 필요 없음 그리고 이 영화를 통해서 구교환이라는 배우를 알게 돼서 좋아요"
모가디슈,dmst****,10,다음주에 보러 갑니다 ^^7
모가디슈,mega****,8,그냥 저냥..ㅎㅎ  제작비는 많이 들었을 듯..ㅎㅎ
모가디슈,syes****,10,
모가디슈,abc9****,10,심장 졸이면서 봄코로나 아니였음 천만영화각
모가디슈,dosl****,10,와 볼만함 너무재밌게 봤어요
더 포스트,jhst****,10,우리 시대의 한 단면을 관통하는 영화 '내부자들' 이강희의 언론윤리와 얼마나 비교되는지 눈물이 난다. 또 우리 법원도 헌법정신과 취지에 충실한 미국 대법원의 저런 결론을 낼 수 있을까?. 메릴 스트립의 극강 연기에 다시 놀라며..
모가디슈,hell****,8,Brilliant.
정글 크루즈,koow****,10,지루하지않고 재미있게 보았습니다^^
모가디슈,giya****,10,역사적 내용을 잘 풀어냈고 긴장감 있게 이야기가 전개되서 좋았어요 연기력은 말안해도 최고고 기대만큼 진짜 재밌었습니다!!! 특히 구교환 배우님 사랑합니다 :)
체르노빌 1986,hell****,6,Acceptable.
정글 크루즈,ilec****,8,재밋게 볼 수 있는 오락영화
모가디슈,suga****,10,정만식 배우님 덕에 안그래도 궁금했는데 보러왔습니다 너무 재밌게 봤어요 ㅠㅠ 다들 꼭 보세요
발신제한,june****,2,첫차 폭팔위치랑 애기다리맞은 각도가 나옴??경찰은 형제 사실 확인도 안하는가?뭐지??? 평점 첨쓰는데 집중안됨
정글 크루즈,zkk3****,8,재미와 나름의 교훈까지
블랙 위도우,baka****,10,나타샤는 분명한 히어로입니다. 항상 그리울거에요…ㅠㅠ 어떤 리뷰에선 이 영화가 적어도 블랙위도우의 2번째 영화는 되었어야 한다고 하더군요.깊이 동의하는 바입니다. 나타샤의 솔로무비를 단 한편으로 놓고 떠나보내기가 너무 아쉽네요.그럼에도 이 영화는 2대 블랙위도우를 기대하게 하네요..대단합니다.나타샤는 영원한 마블 히어로의 큰언니로 기억될거같아요.
모가디슈,cmh3****,4,류승완 감독의 베테랑을 너무 재밌게 봐서 기대했는데 솔직히 베테랑과 다르게 지루했다. 막판 총격씬 빼면 좀 루즈함.
새콤달콤,jina****,2,제가 알아채지 못한 연출자의 의도가 있었는지 모르겠는데...반사광을 안 썼는지 배우들이 다른 작품에서 보다 얼굴매력이 현저히 떨어져보이구요배경음악이 필요한때에 없고 아예 없었던것 같아요남주의 마지막 대사가 영화 전반을 나타내는 것 같았어요남자주인공대사 '어디서 부터 잘못된 거지?'
랑종,well****,4,"곡성은 이 영화에 비하면 코메디라고 했던 나홍진, 랑종 '제작자'의 말은 자본주의적 홍보에 불과했다.곡성을 팔 정도로 '장사'를 해야 했던 나감독이 애처롭다. 단언컨대, 곡성이 랑종보다 더 무섭고, 더 재밌다."
예수보다 낯선,zksy****,4,
모가디슈,hjh1****,10,간만에 재미있는 한국영화였어요. 코로나로 관객이 영화관을 많이 찾지 못하는게 안타깝네요 ㅠㅠ 정말 추천합니다
모가디슈,popy****,10,와 ㅋㅋㅋㅋ뒷부분으로 갈수록 몰입 ㄷㄷ 몇년만에 영화본건데 재밌었어요
모가디슈,boba****,10,정만식 배우님 때문에 봤습니다^^ 재밌네요 2차 포디로 또 보려구요~~!
모가디슈,moku****,8,북한을 좀 많이 미화한것 빼고는 괜찮았음
CCTV,subi****,1,개폭망. 비디오로 나와도 안볼각 ㅋ
발신제한,onii****,1,초등학생도 보면서 갸우뚱할만한 개연성. 중학교 동아리 수준의 연출. 스토리에 억지로 배우들을 쑤셔넣는 역겨움. 유치원생 장기자랑 수준인 류승수의 연기력.
모가디슈,pdu0****,1,
모가디슈,ynur****,10,정만식 배우님 때문에 봤어요! 더 흥해라!
블랙 위도우,jisu****,10,2시간 10분정도 재미있게 봤습니다. 다음영화도 기대됩니다
업사이드 다운,caca****,10,결말 매듭이 살짝 급한감은 있지만 이거 8점이상 가치 있는데 평점 왜이리 낮죠
모가디슈,int1****,10,어떻게 찍었을까 놀라면서 봤네요. 극장 사수 필수!
터미네이터: 다크 페이트,pean****,10,
보이후드,bang****,10,
우상,rkdt****,10,Ost 아누스데이만 생각남 영화보다 ost가 훨씬 훌륭함
모어 댄 블루,dudm****,10,"처음엔 별 기대 안하고 봤는데 보다보니깐 특히 여주 입장 부분에서 감정 이입 해서 영화 보는 도중에 운 거 진짜 오랜만이었고, 케이랑 크림이랑 둘 다 캐릭터 연기를 잘해주어서 더 몰입하면서 볼 수 있었던 거 같아요 반전의 반전 내용도 있고!! 최고였습니다(^з^)-☆"
봉오동 전투,tmdg****,10,"강원도 독립 투사중 우리 집안의 자랑스런 32대, 33대 할아버지께서 나온데는게 뿌듯 하네요"
곡성(哭聲),salc****,9,"바란다고 멀어지는 것도 아닌 악, 또 바란다고 찾아오는 것도 아닌 선."
블랙 호크 다운,o2gi****,9,잘 만든 영화입니다 실화라 가슴이 아파요
정글 크루즈,qie1****,2,왜 평점이 여자가 높은데 남자는 낮은지 잘보세요. 찐 꼴페미영화에다가 개연성따위는 밥말아먹은 작품입니다. 진짜 미쳤나 디지니. 더락없었으면 중간에 나갔다
발신제한,oms1****,8,불쌍해 죽은남자...
쇼생크 탈출,bdsh****,10,실화를 바탕으로 찍은 영화여서인지 진실감이 느껴집니다.
CCTV,tele****,1,12월의 마지막날이라면서 단풍이 완연한 첫장면부터... 하...
방법: 재차의,leej****,6,"드라마보고 진짜주위에추천많이 했었어요 드라마퀄리티가 너무높앗다생각해요 영상미에 주연분들 조연분들 라인업까지 연기며 다 완벽햇거든요 영화도기대많이했는데 흠..머랄까 스토리긴장감이 드라마가더 높았다해야할까요 중간중간 액션들과 방법하는부분, 좀비떼연출부분은 좋았는데 먼가아쉬웠어요ㅠㅠ..  방법사와 대응하는 상대편이 악이아니라 그랬던건지 ..   스토리부분이 아쉬웠던거같아요 그래도 다음 방법 기대합니다!"
빛나는 순간,dlfr****,8,잔잔하니  몰입하게  만드는매력적인  작품입니다
정글 크루즈,iuni****,7,80년대 구니스 감성에 PC가 살짝 양념으로 뿌려졌음~~
모가디슈,snow****,8,오랜만에 영화보로갔는데 뜻 깊게 봤어요
검객,habe****,10,엄마 나 유부남 좋아해..미안해
이스케이프,tech****,10,긴장감이 정말 최고였어요.
원더 우먼,happ****,9,나름 잘 만들었어요 중간에 어색한 전개만 좀 어떻게하면 좋을듯
도어락,5368****,2,아니 진짜 욕나오는 답답함 너무 답답해서 화남 왜 이렇게 답답하냐 그냥 죽는게 나음 저 정도 지능이면; 주위사람 다 죽어나가는데도 혼자 벌벌벌 어휴 고구마도 이런 고구마가 없네
킬러의 보디가드 무삭제 특별판,vudw****,10,코로나로 스트레스 만땅인데?몇번을 봐도 넘 재미 있네요잘생긴 라이언  레이놀즈완전팬 되어서 이배우 나온 영화 찾아서 보는중 올여름은 라이언 레이놀즈  영화보면서 휴가 보내야겠네요~^
정글 크루즈,84ol****,10,정말 너무 행복했습니다.
