영화제목,아이디,평점,댓글
모가디슈,0511****,10,원래 영화 지루해서 제대로 집중도 안 하는 스타일인데 이번에 보면서 끝까지 집중하면서 봤어요 특히 마지막 연출 ㅠㅠ 스포하는 것 같아서 장면은 얘기 안 하지만 너무 재밌었습니다 두세번 더 볼 수 있을 것 같은 영화였어요
아이윌 송,bvlg****,2,기본적으로 피토하는 스토리가 유치뽕짝에.. 음악 드라마인데 음악이 구리다.연기자들의 연기력이 많이 떨어진다. 안동 월영교만 이쁘게 나온다.
미드나이트,d_qh****,10,"현실성 없다고 하는데 충분히 일어날 수 있는 사건이라고 봄 시내 한복판이라 해도 사운드가 있는 한 명의 말만 믿게 되지 않을까 다시 생각하게 됨 그리고 중간 중간 음소거 연출도 충분히 멋졌음 추격전도 속도 빨랐고, 무엇보다 진기주 배우님 연기 최고였어요 !!!"
블러드 레드 스카이,meje****,2,개 쓰레기 발암물질 천국에 킬링타임도 안됨 개지루흠
관상,knu1****,10,다시봐도 잘 만든 영화입니다
모가디슈,sksg****,1,그놈의 북한 북한 북한 ㅠㅠ 그만 좀 ....
고백,ccdd****,10,기승전결이 확실한 영화가 난 너무 좋다...또한 이 영화는 권선징악도 명확히 보여주어 영화가 끝나고 나서도 아쉬움이 없었다
모가디슈,moto****,10,정만식배우님덕분에 보러갔는데 시간가는지 모르고 재밌게 봤습니다 심장쫄깃연출과 배우님들 명연기에 몰입감 굿!!!
모가디슈,kyuj****,8,소재는 좋았는데.. 북조선과의 로맨스는 이제 좀 그만 다루면안되나.. 죽느냐사느냐인 내전상황적국인 북한대사식솔들을 받아준것도 솔직히 현실성없고 마지막에 각자 갈길가는 씬은 무슨 영영 이별하는 남녀마냥 클로즈업한것도 웃기고 말하고자하는게 소말리아 내전때의 한국인들의 생존탈출기인지 남북분단현실의 아픔인지 분명하지 않음. 그래서 결말도 허무함. 이게 태양의 후예랑 다른게 뭐임. 첫부분에서 기대하게 만들었다가 마지막에 졸작이 되버리는건 한국영화 종특이냐
랑종,gksw****,1,개노잼 무섭지도 재미도 다없는 c급영화
모가디슈,sung****,9,재밌네요 잘봤습니다ㅋ
정글 크루즈,gnic****,9,배우들의 미친 연기력과 케미가 돋보이는 영화
모가디슈,chan****,10,
정글 크루즈,pv34****,9,볼거리들이 많아서 재밌게 봤습니다
정글 크루즈,tjsg****,10,너무재밌어요 ㅎㅎ 시간순삭 그냥 가볍게 보기 너무좋은영화 간만에 영화보면서 웃었어요 드라마든 영화든 즐거운게없었는데 드웨인존슨너무조아요
메카닉: 리크루트,bboy****,8,스타듬 수영선수 출신이라든데 액션은 왜저리 잘할까싶다. 전혀 씬이 어색하지가 않아
정글 크루즈,mvyu****,8,시원한 정글 탐험 ~ 드웨인존슨이랑 정글 뿌시기
정글 크루즈,pnxq****,10,이렇게 센스있는 영화는 오랜만이야ㅋㅋㅋ
모가디슈,yeel****,10,진짜 보면서 계속 영화 진짜 잘만들었다는 생각밖에 안들었습니다..그리고 영화의 감동적인 요소도 잘 와닿았습니다
모가디슈,chjh****,1,잘  모르겠다...쓰읍
크루엘라,2478****,10,와 이건 진짜 레전드 진짜 ㅜㅜㅜ 너무 좋아요 엠마스톤 진짜 너무 멋있구 ㅠㅠ 빨리 보러 갈걸 그랬어요
모가디슈,rube****,10,뻔한 이야기도 아니었고 예상했던것들이 죄다 틀렸습니다 배우님들이 잘 생겼고... 연기도 최고 ㅠㅠ 한국 영화 오랜만에 봤는데 정말 후회없이 봤어요! 영화 끝의 여운도 장난 X ... 이렇게 재미있을줄 알았으면 포스터 받을 수 있는 곳으로 가서 볼걸 그랬어요.... 꼭 보세요!!!
정글 크루즈,j5fr****,10,최근에 본 영화들 중 제일 재밌었어요
선생 김봉두,chan****,10,지금  다시  틀어주면  많은  공감이  있을텐데
랑종,mich****,9,공포영화 안좋아하는 편인데 친구들의 성화에 못이겨 관람했어요.물론 무서운 장면은 알아서 안봤지만 지루하거나 내용이 부실하진 않아요. 많은 내포된 내용들은 유튜브 해석을 통해서 알게되었지만 흥미로운 요소들이 많았어요
모가디슈,tony****,10,보는 내내 긴장됨 ㅋㅋ 별거 없는 스토리 인줄 알았는데 넘 긴장되서 몸 앞으로 제쳐서 봄 ㅋㅋㅋ
콰이어트 플레이스 2,kw09****,10,
새콤달콤,sanj****,10,이해 안가거나 재미없었다는 사람들은 제대로 된 연애 안해본게 분명함… 다은이 넘 불쌍ㅠㅠ 끝까지 행복하지 못해보여서 맘 아파ㅠ
발신제한,jdfa****,1,결말진짜 현실고증 돈아깝다 진짜
모가디슈,jo28****,10,극장에서 봐야 재밌음
모가디슈,feng****,10,넘 재밌습니다. 올래 제일 재밌게 봤어요. 조인성의 코… 참 부럽다…
모가디슈,gusw****,10,우리나라 영화 스케일이 점점 커지고 좋아요 재밌어요 ㅎㅎ
인 더 하이츠,namj****,6,흥겹기는 한데 내용은 그닥..
모가디슈,moon****,8,뻔하지고 않고 액션신은 진심 심장 박살나는줄!! 시원하게 잘 봤어요 신파적 요소도 거의 없음
낙원의 밤,gim9****,10,다른분들 연기력은 모르겟는데 엄태구랑 차승원은 잘햇다
종횡사해,qngu****,9,내가 갓난애기때 만들어진 영화라니...신기하면서 재밋다 그와중 장국영은 역시
모가디슈,mk00****,10,와~~~진짜 잼있게 잘봤어요. 내전을 보여주는 연출이 완전 멋져요 ㅎㅎ 뭔가 그 시대의 남.북의 현실도 찡하네요. 국가대국가는 좋지않지만 인간대인간은 그렇지않다는거...암튼 강추입니다.(정글크루즈 보고 바로 모가디슈 봤는데 훨씬 잼있어요. 정긁크루즈는 진짜 지루했거든요ㅠ)
CCTV,sinh****,9,근래본 공포영화중 최고네요
모가디슈,whdg****,10,아 수구 꼴통들 또 뭐가 그리 불편하신지 평점 테러하는거 봐라…
정글 크루즈,yeso****,10,딱 디즈니스러운 전개와 디즈니스러운 결말ㅎㅎ그래도 주인공들 케미가 좋아서 재밌었음
방법: 재차의,tsch****,10,기대하지 않고 봤는데 의외의 수작이다.어설픈 감동코드가 없고 스토리와 연출의 힘으로 영화를 끌고간다.세계관이 독특하나 설득력이 있다.특히 액션이 근래 한국영화중에서도 손꼽을만하다. 영화보면서 시간이 이렇게 금방흐른건 오래간만임.꼭 보시길...
오케이 마담,mcgw****,1,으으으으 그냥 1점짜리 영화
블랙 위도우,hhan****,10,영화 캐릭터상 캐릭터가 죽기전 내용이 궁금해서 보게된 영화인데중간중간 예전 영화들의 스토리연결성이 있는 대화들이 엿보여서 재밌었습니다.액션은 뭐 말할것도 없고 찔끔 나온 쿠키영상으로 추후 어떻게 연결되서 나올진 잘 모르겠지만 편하게 잘봤어요!
모가디슈,jina****,10,
CCTV,dkfm****,7,여름연 역시 공포영화죠~영화보고서 정보검색해보니 12년전 영화군요..살짜쿵의 아쉬움이 이해되네요 ^^묻혔던 독립영화가 지금이라도 나와 다행이고..또한 앞으로는 이리 묻히는  영화는 없으면 좋겠어요12년전 그때 봤었다면 더 좋게 봤겠지만.. 세월의 흐름에 아쉽긴하네요
검객,mcgw****,1,이거 평점 알바썼음? 점수가 왜이래?
블랙 위도우,sysj****,10,어쩌면 다른 히어로중에 조금은 뭍혀있었던 블랙위도우가 얼마나 매력적인 캐릭터인지 알게되었다앞으로의 마블영화에서 못본다는게 안타까울뿐
블랙 위도우,me99****,10,플로렌스 목소리 멋지다 ㅋㅋㅋ 스케일 크고 멋지다
모가디슈,mcgw****,1,ㅈ같음 그냥. 심지어 묻어있음
모가디슈,2two****,10,조인성 × 구교환 케미 보는 맛도 있고 무엇보다 스토리가 탄탄해서 흥미진진하게 봤던 것 같아요. 억지감정 끌어올리는 것도 없고 정말 재미있게 봤어요
모가디슈,qkrr****,10,"2시간이 30분처럼 갔어요 억지감동, 왜곡이 없어서 더 몰입하기 좋았어요 액션씬도 장난아니고 강추합니다 코로나때 개봉한 영화중 체고"
블랙 위도우,dbsc****,10,역시 액션은 마블..스토리도 캐릭터들도 시원시원액션만으로도 멋져
크루엘라,o3o_****,10,재밌어요 !!! 다보고 나오면 크루엘라처럼 걷게 돼요 ㅋㅋㅋ 스토리도 연출도 다 좋아요
포비아2,nimu****,6,Phobia 2
모가디슈,o3o_****,1,네이버 알바 쓰나요? 내용도 감동도 그저 그랬어요. 배우들 연기가 아까워요.크루엘라나 블랙위도우가 훨씬 더 재밌어요.
랑종,vosw****,1,1점도 아까운 영화임. 좀비물과 퇴마물의 환장의 콜라보
항거:유관순 이야기,look****,10,정말 고마운 영화입니다
항거:유관순 이야기,look****,10,정말 고마운 영화입니다
모가디슈,mooh****,2,정말 재미 없어요 정치적 영화 평점 높은점 저로서는 이해안감  중간에 보다 나왔음조인성 앞으로는 잘 보고 출연해라
바람의 검심 최종장: 더 비기닝,sdh7****,10,진짜 ㄹㅇ ㅆㅅㅌㅊ..(짝짝)가슴이 웅장해진다 씨1345발 ㅈㄴ 재밌으니까 꼭봐라 인생영화다...가슴이 웅장해져서 잠을 못잘듯....하 진짜 조오오오온나 재밌으니까 꼭 봐라 후회안한다 ㄹㅇ ...감동실화
모가디슈,jsba****,8,블랙위도우보고 모가디슈를 봤는데 모가디슈가 저한테는 더 재미있네요.
방법: 재차의,dydt****,10,드라마 영화둘다 좋아요  올여름 날려버릴영화!
이보다 더 좋을 순 없다,nick****,9,말로 꼬시는 영감 남자도 반하게한다
모가디슈,happ****,6,
브이 포 벤데타,astr****,10,자신이 이 세상의 중심이 될수없다면 혹은 세상이 개인을 져버린다면 바로 그런것들이 괴물과 같은 신념을 만들어내는 것이다. 개개인 스스로가 이세상의 주인공이 될수만 있다면 더이상 어떠한 신념도 필요없다. 우리는 어린아이와 같은 마음으로 이 세상을 긍정하고 즐기며 가치를 '창조'하는 사람이 될수있도록 혼신의 힘을 다해야한다.
블랙 위도우,qorr****,10,최고의 영화! 맨손 싸움이 많아서 보는 제가 더 아팠답니다. 한번쯤 꼭 보시는걸 추천해요~
지오스톰,vain****,9,소재가 좋아서 재밌었음
정글 크루즈,blon****,4,핵노잼 졸앗다 평점사기 조심들
모가디슈,cute****,10,방금 보고나옴~스케일과 스토리 둘다잡음!!
모가디슈,youn****,1,정만식 진짜 꼴보기싫네. 너땜에 영화 안본다
나는 나대로 혼자서 간다,meta****,10,이렇지 않을까 생각하는 주제로 영화를 만들었네..그리고 창의롭게 연출을 했다
모가디슈,wnle****,10,재밌어요!!! 영화관은 1년에 2번 갈까 말까이지만 정만식 배우님 때문에 보고 왔는데 기대 이상이었습니다
모가디슈,whit****,10,한 순간도 주먹을 펼 수 없는 긴장감!역시 류승완 감독이네요!!!!코로나만 아니었으면 천만 영화 각입니다!!마스크 2시간 쓰고 있어도 답답하지 않은 영화!!추천추천!
홈,me_0****,10,재밌었습니다 많은 생각을들게 해줬어요 ..! 너무 귀여운 캐릭터들도 한몫 한거같네용용
모가디슈,jmk7****,9,어느 한쪽에 치우친 관점에서의 전달이 아니라 객관적 시점에서 양국을 담으려는 부분이 좋았음. 늘 자신의 사상이 영화에 너무 적나라하게 드러내서 영화를 보는데 불편했는데 이 영화는 그런점이 없어서 좋았음. 소말리아의 내전이 강렬하게 드러나는 것과는 역설적으로 남북이 하나로 되어가는 장면이 인상적이었음.
모가디슈,khla****,8,간만에  좋은 영화를 보고 기분이 좋았어요  마지막 엔딩이 조금 아쉽지만 우리가 진지하게  생각해볼 과제를 줬네요
발신제한,smsc****,6,딱 6점정도가 적당한 영화.키코사태를 모티브로 한 영화인데 중반까지는 괜찮았지만 그 이후 급격하게 긴장감 떨어집니다.경찰은 신원조회도 않고 폴리스라인을 넘게 하네. 참 어처구니 없네
모가디슈,ddjj****,10,이 영화를 호불호 따진다고? 꼭 보시길 간만에 제대로 된 영화 한 편 본 것같다. 봐주세요 저 리뷰알바 아닙니다 진짜ㅠ
모가디슈,didg****,10,보는 내내 지루할 틈이 없었음 존잼 실화라는게 더 슬픔
모가디슈,yate****,10,한국영화의 어마어마한 수준..다큐같음
모가디슈,sook****,10,보는내내 몰입해서 재밌게 봤어요매번 할인해서 보거나 통신사혜택으로 무료로 보다가오랜만에 제값주고 본 영화였는데 돈이 하나도 안아까웠네요꼭 극장에서 보세요 !!
모가디슈,jong****,1,기다렸다 넷플릭스나 ocn에 풀리면 그때 심심하면 보세요. 돈주고 볼 영화는 아님^^
새콤달콤,qhsh****,10,스토리가 너무 좋아요!!
가버나움,krhs****,8,"이야기가 두 축으로 구성된다. 자칫 스토리텔링적으로 미흡할 수 있는 부분이, 두 세계 속에 있는 생명에 대한 끈질긴 탐구로 그 의미가 배가 된다. 그리고 무엇보다 이 영화를 높은 수준으로 끌어 올린 건 자인의 연기다. 자인이 연기자가 아니라 난민이었다는 거에 더 큰 충격을 느낀다. 여기에 아기 요나스도 어떻게 그렇게 연기를 잘 하는지,,,,라힐이 요나스를 보고 환하게 웃는 장면에서 감독이 말하고 싶은 걸 (사실은 좀 너무 노골적으로) 드러낸다."
모가디슈,777z****,10,진짜 코로나 아니였으면 천만관객 찍었을듯후반부가 재밌고 심장쫄리면서 봄
정글 크루즈,hers****,10,"유쾌하고 즐거운 영화. 인디아나 존스, 툼레이더 보는 기분. 오랜만에 어드벤처 영화를 재미나게 봤음. 4DX로 보시길 추천. 에밀리 블런트 매력적"
보스 베이비 2,yj66****,10,감동포인트가 너무 정확해서 힐링과 감동을 받고갑니다!
모가디슈,buga****,10,딱히 북한 미화도 없고 간만에 영화봐서 그른가 재밌게봄
발신제한,icet****,10,주연배우님 연기력 너무좋았습니다몰입도 긴장감 최고~~ 너무재미있게 봤습니다^^
모가디슈,lemi****,9,재미도있고 의미도 있고 좋은영화였음. 유엔가입이 이르케얼마 안된지 처음알았고 이탈리아가 도와준지도 첨알음ㅋㅋㅋ내가 모가디슈에 떨어진 것 마냥 개집중함 ㅋㅋ자동차씬은 진짜 주먹꽉쥐고 봤다ㅋㅋ
지오스톰,jcrd****,1,매우매우매우 진부한 스토리와 진부한 유머돈 많이 쓴 졸작
분노의 질주: 더 얼티메이트,qusw****,10,분노의 질주 시리즈 중에서 젤 재밌는 것 같아용!!!
진짜로 일어날지도 몰라 기적,misu****,9,
랑종,zzzz****,1,평점 0점 없나요?ㅜㅜ 뭘 말하고자하는지도 모르겠고 뜬금없는 19금 장면도 보기불편했구요... 갑툭튀 연출에 깜놀만 몇번했어요
